retirobaixo,tresmarias,queimado,sobradinho,itaparica,pamx,xingo,serradamesa,canabrava,peixeangelical,lajeado,estreito,tucurui,saosalvador
77,414,52,1773,1746,1738,1738,445,460,874,1823,4704,11890,498
77,348,37,1640,1664,1677,1677,309,317,537,984,2520,6755,352
57,229,32,1325,1398,1415,1415,193,199,387,664,1621,4131,221
49,205,28,1067,1084,1090,1090,160,164,310,492,1204,3044,178
48,187,26,903,924,931,931,133,136,269,394,1064,2511,149
39,179,40,841,837,837,837,210,222,397,462,1174,2303,225
60,287,89,1468,1298,1237,1237,902,986,2101,3091,4667,7679,1076
440,1139,139,3687,3635,3568,3568,1664,1872,4103,5874,9310,18563,2087
247,1472,162,5948,5968,5915,5915,2338,2557,5476,7801,12085,31790,2830
239,1113,176,7119,7268,7250,7250,2052,2281,4778,6882,11624,30269,2539
221,1355,190,6903,7502,7520,7520,2427,2673,6075,9365,16068,40272,2935
205,1450,126,7965,8336,8311,8311,1890,2106,4880,7963,14004,49445,2429
137,655,74,5817,6466,6592,6592,566,620,1421,2553,6066,26300,736
94,401,60,2769,2976,3036,3036,408,449,931,1484,3197,14245,487
78,324,52,2033,2079,2095,2095,287,313,683,1037,2275,7742,346
63,269,45,1644,1696,1709,1709,212,229,498,715,1663,5559,249
78,262,40,1373,1393,1400,1400,192,206,420,575,1465,4379,223
59,255,41,1522,1528,1528,1528,221,235,485,603,1345,4516,250
141,626,51,1416,1380,1359,1359,355,380,728,995,2137,3658,403
272,1403,96,4341,4234,4131,4131,867,934,1672,2179,3433,7943,976
164,759,74,3623,3921,3998,3998,1121,1213,2345,3117,5205,14026,1300
203,816,107,5212,5203,5108,5108,2320,2545,5294,7486,10396,21384,2803
137,676,75,3385,3721,3810,3810,1286,1389,3311,5522,10452,21931,1614
111,472,88,3104,3192,3202,3202,1379,1481,3985,5853,9829,25589,1615
98,347,59,2421,2541,2563,2563,821,860,1711,2658,5083,19070,952
73,271,49,1697,1733,1745,1745,375,395,906,1348,2720,9907,441
77,263,45,1413,1419,1424,1424,312,330,703,930,1949,4826,350
