retirobaixo,tresmarias,queimado,sobradinho,itaparica,pamx,xingo,serradamesa,canabrava,saosalvador,peixeangelical,lajeado,estreito,tucurui
206,1431,62,6343,6264,6233,6233,1381,1506,1657,3521,5033,8701,16679
233,1075,65,4520,4693,4753,4753,1345,1454,1591,3002,4258,7614,16748
248,1043,135,5422,5659,5652,5652,1757,1901,2052,3621,4968,8513,21290
119,577,52,4016,4304,4383,4383,978,1064,1205,2119,3311,6734,22611
84,331,44,2210,2287,2317,2317,481,511,562,906,1316,3025,12126
77,276,44,1846,1872,1879,1879,381,405,433,706,918,1840,6255
64,213,40,1581,1606,1614,1614,279,294,317,533,674,1375,4181
50,178,34,1359,1384,1392,1392,210,220,235,410,501,1055,2905
44,152,35,1207,1209,1212,1212,228,246,262,457,544,1086,2155
54,217,41,1323,1259,1241,1241,339,357,367,630,729,1344,2256
164,648,67,1504,1435,1426,1426,732,811,851,1427,1643,1834,2896
502,1549,234,5155,4813,4682,4682,2926,3365,3646,6585,7450,8906,15553
487,1975,103,7850,7589,7507,7507,1917,2140,2464,4418,6671,11036,22654
760,3273,145,9219,9304,9317,9317,2799,3077,3367,6106,8599,13901,25576
324,1701,68,13034,12939,13111,13111,1635,1818,2055,3517,5283,9917,25246
221,1329,112,7136,7926,8133,8133,1154,1301,1467,2425,3378,7094,20732
150,730,74,3499,3650,3706,3706,624,684,756,1233,1704,3877,13266
128,529,53,2589,2665,2695,2695,377,409,443,755,1005,2233,7072
99,430,50,2155,2195,2208,2208,276,298,322,563,713,1568,3826
82,341,45,1820,1851,1862,1862,202,216,231,425,520,1185,2566
69,273,40,1547,1573,1582,1582,166,177,188,355,411,985,1719
85,391,55,1464,1416,1408,1408,273,300,320,546,611,1288,1541
106,560,69,2929,2893,2820,2820,483,550,603,1066,1298,2396,3766
247,1029,69,2944,2915,2928,2928,803,900,993,1644,2265,3571,6012
303,922,82,4451,4659,4666,4666,691,794,898,1647,2173,3716,7373
320,1485,79,4716,4674,4619,4619,870,982,1070,1857,2495,4133,9275
202,1109,96,3461,3623,3678,3678,1366,1531,1683,2954,4111,7308,14375
148,786,54,3784,3985,3990,3990,834,972,1102,1861,3115,7596,16639
110,504,35,2620,2771,2808,2808,378,411,474,797,1444,3777,13227
88,379,34,1742,1775,1787,1787,231,251,276,489,835,2278,5707
74,291,31,1515,1536,1543,1543,168,181,199,368,584,1613,3399
58,230,28,1305,1332,1340,1340,139,149,162,311,455,1203,2569
56,209,31,1076,1093,1100,1100,124,135,147,290,395,1123,1996
69,277,44,1266,1261,1250,1250,207,222,236,414,581,1173,2349
218,787,41,2138,1949,1890,1890,528,563,603,1075,1507,2129,3558
254,1216,61,4127,4148,4109,4109,699,733,786,1209,1980,3370,6461
246,1055,54,4179,4447,4454,4454,966,995,1044,1423,2417,4199,10746
414,1442,38,4156,4207,4200,4200,1037,1067,1113,1426,2131,3414,14125
399,1385,98,4439,4757,4774,4774,1332,1371,1432,1992,2754,4243,13093
305,1433,40,4855,4990,4972,4972,1152,1201,1301,1943,3142,5727,17253
161,642,32,2522,2747,2823,2823,533,553,612,831,1400,3711,11885
124,479,26,1846,1888,1901,1901,421,433,449,595,896,2193,6477
98,378,24,1487,1515,1525,1525,302,309,325,439,623,1456,3501
82,304,22,1276,1295,1302,1302,240,246,257,355,476,1080,2250
69,251,21,1103,1123,1129,1129,234,239,251,330,413,894,1602
71,274,24,1027,1025,1025,1025,207,213,220,347,427,1121,1472
56,268,25,942,967,975,975,230,236,238,357,437,1041,1715
143,542,53,1641,1461,1405,1405,663,716,764,1433,2017,2777,3917
267,989,48,3310,3280,3262,3262,434,530,597,1168,1756,2998,9216
449,2030,46,4717,4649,4574,4574,621,697,747,1441,1893,2740,7738
413,2716,93,5792,5904,5873,5873,1697,1879,2057,4149,5480,7229,16885
210,1236,35,6938,7209,7205,7205,611,658,786,1743,2856,6447,17636
131,655,21,3257,3607,3735,3735,420,453,493,925,1658,3906,13181
117,461,22,1971,2020,2038,2038,244,262,295,541,870,2114,5691
89,407,21,1605,1642,1654,1654,172,184,201,392,583,1405,3162
72,331,20,1312,1338,1348,1348,135,142,154,317,439,1050,2048
72,357,24,1192,1179,1172,1172,127,134,142,324,416,1054,1580
69,285,22,1136,1169,1183,1183,137,144,150,296,383,903,1542
118,575,67,1782,1599,1535,1535,339,356,358,727,792,1350,2141
177,812,85,3393,3380,3389,3389,992,1048,1122,2131,3158,4973,6195
105,366,52,3563,3954,4049,4049,436,466,542,1012,1971,4950,10716
170,530,70,1792,1776,1773,1773,489,528,564,989,1573,4693,7199
144,736,97,2684,2640,2626,2626,806,866,924,1549,2257,4719,10319
169,755,73,3741,3925,3897,3897,799,845,906,1383,2022,4253,13675
87,365,32,1934,2089,2154,2154,347,364,406,589,910,2222,9076
68,258,33,1308,1344,1357,1357,253,265,281,404,576,1327,3925
56,202,32,1108,1124,1129,1129,198,205,218,322,433,977,2278
47,164,30,972,987,993,993,167,173,183,281,356,745,1657
48,163,35,858,866,870,870,148,154,159,271,381,990,1392
61,242,35,1161,1083,1059,1059,308,322,336,587,773,1643,2347
126,537,68,1411,1467,1463,1463,460,476,483,839,1006,2157,3649
194,1029,166,3189,2990,2908,2908,1042,1085,1137,2030,2835,4608,6608
111,521,82,4405,4777,4839,4839,811,868,945,1677,2629,4846,13507
167,701,122,2779,2745,2714,2714,1423,1533,1634,3224,4313,6751,15275
90,354,73,2780,3127,3176,3176,554,597,685,1487,2216,5909,16335
127,466,47,2429,2532,2541,2541,759,807,853,1661,2536,5517,16927
76,300,46,1444,1473,1488,1488,299,314,357,621,1016,2887,12009
54,197,42,1201,1250,1266,1266,213,224,232,430,598,1573,6585
42,152,37,979,994,1000,1000,163,170,181,341,451,1119,3811
33,123,33,852,870,875,875,132,137,144,287,358,865,2186
29,108,30,715,728,733,733,122,126,133,252,317,763,1464
30,105,24,645,652,654,654,98,102,107,228,285,609,1269
82,389,68,880,815,797,797,251,260,254,486,630,1657,1999
119,439,94,3544,3412,3316,3316,1214,1275,1296,2118,2539,3671,8249
278,953,143,2310,2533,2608,2608,1126,1185,1251,2083,2651,5052,8339
141,570,70,4051,4180,4157,4157,1168,1253,1325,2252,3057,6062,14264
101,522,58,2165,2272,2313,2313,833,889,965,1638,2338,5287,12922
95,561,88,2616,2662,2624,2624,1014,1083,1149,2091,2796,5714,13512
62,216,37,1437,1576,1633,1633,324,339,386,628,948,2788,9827
59,183,38,1072,1087,1093,1093,271,283,293,462,582,1515,5046
40,136,35,900,916,922,922,191,198,208,342,425,1097,3023
31,107,32,788,802,806,806,157,163,170,286,339,847,2103
25,94,29,678,691,696,696,145,151,159,269,300,755,1675
53,212,59,661,627,623,623,248,260,265,495,575,1193,1522
84,395,64,1977,1877,1822,1822,396,421,433,856,1237,2537,3163
265,1359,100,3305,3181,3119,3119,1019,1079,1146,2443,3722,5867,5963
214,1006,52,5370,5427,5390,5390,943,1007,1124,2296,3926,7003,12167
123,610,81,2215,2556,2684,2684,432,462,520,1153,2174,6515,10102
190,986,87,4585,4516,4413,4413,1095,1170,1254,2811,4637,8353,17733
85,369,40,2543,2935,3057,3057,474,496,591,1149,2749,7391,15606
77,414,52,1773,1746,1738,1738,445,460,498,874,1823,4704,11890
77,348,37,1640,1664,1677,1677,309,317,352,537,984,2520,6755
57,229,32,1325,1398,1415,1415,193,199,221,387,664,1621,4131
49,205,28,1067,1084,1090,1090,160,164,178,310,492,1204,3044
48,187,26,903,924,931,931,133,136,149,269,394,1064,2511
39,179,40,841,837,837,837,210,222,225,397,462,1174,2303
60,287,89,1468,1298,1237,1237,902,986,1076,2101,3091,4667,7679
440,1139,139,3687,3635,3568,3568,1664,1872,2087,4103,5874,9310,18563
247,1472,162,5948,5968,5915,5915,2338,2557,2830,5476,7801,12085,31790
239,1113,176,7119,7268,7250,7250,2052,2281,2539,4778,6882,11624,30269
221,1355,190,6903,7502,7520,7520,2427,2673,2935,6075,9365,16068,40272
205,1450,126,7965,8336,8311,8311,1890,2106,2429,4880,7963,14004,49445
137,655,74,5817,6466,6592,6592,566,620,736,1421,2553,6066,26300
94,401,60,2769,2976,3036,3036,408,449,487,931,1484,3197,14245
78,324,52,2033,2079,2095,2095,287,313,346,683,1037,2275,7742
63,269,45,1644,1696,1709,1709,212,229,249,498,715,1663,5559
78,262,40,1373,1393,1400,1400,192,206,223,420,575,1465,4379
59,255,41,1522,1528,1528,1528,221,235,250,485,603,1345,4516
141,626,51,1416,1380,1359,1359,355,380,403,728,995,2137,3658
272,1403,96,4341,4234,4131,4131,867,934,976,1672,2179,3433,7943
164,759,74,3623,3921,3998,3998,1121,1213,1300,2345,3117,5205,14026
203,816,107,5212,5203,5108,5108,2320,2545,2803,5294,7486,10396,21384
137,676,75,3385,3721,3810,3810,1286,1389,1614,3311,5522,10452,21931
111,472,88,3104,3192,3202,3202,1379,1481,1615,3985,5853,9829,25589
98,347,59,2421,2541,2563,2563,821,860,952,1711,2658,5083,19070
73,271,49,1697,1733,1745,1745,375,395,441,906,1348,2720,9907
77,263,45,1413,1419,1424,1424,312,330,350,703,930,1949,4826
55,191,38,1421,1451,1457,1457,184,192,210,495,655,1383,3490
65,244,35,1128,1110,1111,1111,193,213,236,490,582,1364,2497
106,326,40,1518,1453,1426,1426,250,276,297,580,684,1502,2837
87,327,33,1838,1903,1916,1916,284,322,354,673,800,1500,3969
112,481,53,1798,1642,1599,1599,670,730,755,1257,1655,2580,5073
143,855,119,3601,3603,3573,3573,3206,3513,3863,6004,8899,10825,17774
97,584,61,3660,3898,3941,3941,1437,1545,1804,2795,5189,8965,27623
245,892,68,3495,3455,3397,3397,1475,1563,1756,2635,5116,8015,26688
93,423,47,2708,2976,3071,3071,790,836,947,1336,2630,5040,24679
63,269,37,1364,1416,1436,1436,371,393,445,624,1134,2638,14823
51,192,33,1139,1151,1156,1156,297,312,340,482,793,1961,7782
43,148,29,1015,1031,1036,1036,209,219,240,356,558,1284,4931
37,133,23,906,917,921,921,172,179,194,288,416,968,3228
32,119,19,820,829,832,832,133,141,155,250,339,858,2291
55,220,28,847,823,818,818,228,237,244,362,450,992,2284
95,521,69,1600,1533,1512,1512,527,552,585,916,1085,1729,3502
100,544,53,2711,2636,2625,2625,524,558,580,898,982,1466,5770
242,1202,67,3291,3248,3225,3225,1607,1746,1835,3006,3693,4758,10303
225,1239,62,5729,5775,5701,5701,2593,2783,2994,4512,6168,8503,22024
277,1489,89,6124,8862,9090,9090,2602,2790,3085,5253,8064,12943,28633
108,562,54,6060,7148,7453,7453,1475,1578,1773,2755,4701,8667,26989
87,343,44,2468,2619,2713,2713,650,692,783,1195,2039,3646,15595
70,252,36,1764,1838,1858,1858,444,471,514,810,1258,2357,8612
58,202,30,1388,1415,1423,1423,325,343,375,602,883,1787,4810
59,164,25,1151,1174,1182,1182,244,256,280,463,643,1400,2934
55,188,21,979,998,1004,1004,159,170,189,330,441,1149,2186
62,194,22,902,905,904,904,235,245,253,395,497,1182,2067
84,538,43,1076,1010,996,996,548,569,581,972,1100,1775,3410
239,1270,68,4172,3871,3758,3758,1129,1191,1276,2210,2998,4083,8203
592,2136,99,5755,5587,5530,5530,1518,1640,1812,3128,4693,7012,15344
607,2337,87,7765,7749,7722,7722,1838,2004,2221,3935,5923,9433,23407
414,1774,68,6407,6612,6675,6675,1274,1381,1565,2828,4334,7579,25078
202,761,45,3479,3778,3870,3870,768,823,902,1415,2112,4553,19787
154,590,45,2328,2376,2393,2393,704,751,815,1327,1820,2993,11752
110,372,35,1737,1791,1810,1810,322,342,391,662,922,1861,6119
89,277,30,1389,1414,1424,1424,240,253,275,489,624,1193,3487
74,202,25,1188,1207,1213,1213,208,217,236,429,521,946,2553
62,169,20,993,1015,1023,1023,165,172,192,364,432,786,1946
56,150,20,883,880,881,881,151,175,208,320,470,801,1621
